Serial	Description	Category
n04211356	shutter	n02851099
n04219580	silks	n03419014
n04220805	silver plate	n03963028
n04228581	ski boot	n02872752
n04230808	skirt	n03419014
n04234887	slate roof	n04105068
n04239786	"slingback, sling"	n04199027
n04247011	"smoke screen, smokescreen"	n04151581
n04285803	"sportswear, athletic wear, activewear"	n02756098
n04297847	stair-carpet	n04118021
n04325804	stomacher	n03419014
n04332580	"straitjacket, straightjacket"	n03419014
n04350905	"suit, suit of clothes"	n03419014
n04357121	"sunroof, sunshine-roof"	n04105068
n04357531	sunsuit	n03419014
n04357795	sun visor	n04181718
n04364397	surgical dressing	n03237639
n04367950	"swaddling clothes, swaddling bands"	n03419014
n04370048	"sweater, jumper"	n03419014
n04370774	"sweat suit, sweatsuit, sweats, workout suit"	n03419014
n04371563	"swimsuit, swimwear, bathing suit, swimming costume, bathing costume"	n03419014
n04417672	"thatch, thatched roof"	n04105068
n04423552	thigh pad	n04015204
n04423845	thimble	n02955065
n04427857	three-quarter binding	n02840619
n04429038	throat protector	n04015204
n04429971	throw	n02820210
n04435653	tile roof	n04105068
n04453666	top	n04596852
n04455048	topknot	n03502509
n04488530	trouser	n03419014
n04489008	"trouser, pant"	n03419014
n04492060	trunk lid	n03661340
n04498389	turban	n03502509
n04507689	"undercoat, underseal"	n04159545
n04508163	"undergarment, unmentionable"	n03419014
n04518643	"Valenciennes, Valenciennes lace"	n03938522
n04523525	vault	n04105068
n04528079	verdigris	n03899612
n04531873	"vest, waistcoat"	n03419014
n04545748	walker	n04199027
n04546081	walking shoe	n04199027
n04552097	war paint	n02742322
n04570118	wedgie	n04199027
n04570532	"weeds, widow's weeds"	n03419014
n04572121	welder's mask	n03725035
n04574067	wet suit	n03419014
n04585128	"Wilton, Wilton carpet"	n04118021
n04585318	wimple	n03502509
n04589190	window blind	n02851099
n04589890	window screen	n04151581
n04590553	"windshield, windscreen"	n04151581
n04593376	wing tip	n04444749
n04593524	wing tip	n04199027
n04593629	"winker, blinker, blinder"	n02851099
n04603872	workwear	n02728440
n04605572	wraparound	n03419014
n04607640	wrist pad	n04015204
n07248320	"book jacket, dust cover, dust jacket, dust wrapper"	n03590306
n02671780	"accessory, accoutrement, accouterment"	n03051540
n02675219	"acetate rayon, acetate"	n04056932
n02721813	antimacassar	n03050026
n02728440	"apparel, wearing apparel, dress, clothes"	n03051540
n02739668	"armor, armour"	n04014297
n02742322	"array, raiment, regalia"	n03051540
n02756098	"attire, garb, dress"	n03051540
n02767665	back	n03050026
n02777638	balbriggan	n03625355
n02793684	barndoor	n03357376
n02814774	beachwear	n03051540
n02820210	"bedclothes, bed clothing, bedding"	n03050026
n02820556	Bedford cord	n03106722
n02826068	"bell jar, bell glass"	n04014297
n02840245	"binder, ring-binder"	n04014297
n02840619	"binding, book binding, cover, back"	n04014297
n02845985	bitumastic	n03058107
n02846141	black	n03051540
n02851099	"blind, screen"	n04014297
n02851384	blind	n04151940
n02851939	blindfold	n03050026
n02855925	blue	n03051540
n02872752	boot	n03380867
n02876084	bosom	n03050026
n02888270	"bracer, armguard"	n04014297
n02908951	Brussels lace	n03631177
n02922159	burial garment	n03050026
n02922798	"burlap, gunny"	n04123567
n02944459	camouflage	n04151940
n02953552	Canton crepe	n03130563
n02954938	cap	n04453910
n02955065	cap	n04014297
n03005769	change	n03051540
n03016609	chicken wire	n03819595
n03018614	chinchilla	n03058603
n03036469	"civilian clothing, civilian dress, civilian garb, plain clothes"	n03051540
n03046133	cloche	n04014297
n03047690	"clog, geta, patten, sabot"	n03380867
n03056701	coaster	n04014297
n03059236	coattail	n03357376
n03062651	codpiece	n03357376
n03067518	cold frame	n04014297
n03114379	"cosy, tea cosy, cozy, tea cozy"	n03050026
n03121190	Courtelle	n02677028
n03130761	crepe de Chine	n03130563
n03142679	"crystal, watch crystal, watch glass"	n04014297
n03158414	"Dacron, Terylene"	n03979377
n03221059	"domino, half mask, eye mask"	n03724870
n03227317	double knit	n03625355
n03231476	drag	n03051540
n03237639	"dressing, medical dressing"	n03050026
n03258456	dust cover	n04014297
n03261019	"earflap, earlap"	n03357376
n03268311	elbow	n03050026
n03284482	"emulsion, photographic emulsion"	n03058107
n03284743	enamel	n03058107
n03291741	envelope	n04605726
n03309356	"eyepatch, patch"	n03050026
n03314608	faceplate	n04014297
n03315644	"facing, cladding"	n04014297
n03315990	"facing, veneer"	n03058107
n03318983	"fallboard, fall-board"	n04014297
n03319457	false face	n03724870
n03337383	file folder	n03376279
n03337727	filet	n03631177
n03342262	"finger plate, escutcheon, scutcheon"	n04014297
n03361550	flats	n03380867
n03381126	footwear	n03051540
n03419014	garment	n03051540
n03429914	"gauze, netting, veiling"	n03819595
n03430091	"gauze, gauze bandage"	n03115180
n03436549	gift wrapping	n04605726
n03437430	"gilt, gilding"	n03058107
n03456186	"grey, gray"	n03051540
n03475961	hairnet	n03819595
n03490324	"handwear, hand wear"	n03051540
n03496486	Harris Tweed	n04502502
n03499611	havelock	n03050026
n03502509	"headdress, headgear"	n03051540
n03510072	heat shield	n04014297
n03530910	"hood, bonnet, cowl, cowling"	n04014297
n03546766	housing	n04014297
n03548195	"huck, huckaback"	n04459610
n03590306	jacket	n04605726
n03591901	"jag, dag"	n03357376
n03595523	jersey	n03625355
n03622698	knee	n03050026
n03625943	knitwear	n03051540
n03631811	lacquer	n03058107
n03641706	"lap, overlap"	n03357376
n03641947	"lap, lap covering"	n03050026
n03654576	leg	n03050026
n03655720	leisure wear	n03051540
n03661340	lid	n04453910
n03673767	"lining, liner"	n04014297
n03692379	loungewear	n03051540
n03703730	macrame	n03631177
n03717622	manhole cover	n04453910
n03722944	"marocain, crepe marocain"	n03130563
n03725035	mask	n04014297
n03727837	mat	n03366823
n03729308	matchbook	n03376279
n03746330	man's clothing	n03051540
n03797896	mulch	n04014297
n03805933	nainsook	n03802393
n03809603	narrow wale	n03106722
n03815482	neckpiece	n03051540
n03825080	"nightwear, sleepwear, nightclothes"	n03051540
n03854421	"organdy, organdie"	n03802393
n03855756	Orlon	n02677028
n03859495	"outerwear, overclothes"	n03051540
n03863657	"overcoat, overcoating"	n03058107
n03865949	overshoe	n03380867
n03892425	"parquetry, parqueterie"	n03366823
n03899612	patina	n03058107
n03938522	"pillow lace, bobbin lace"	n03631177
n03958752	plastic wrap	n04605726
n03963028	"plating, metal plating"	n03058107
n03973402	pocket flap	n03357376
n03975788	"point lace, needlepoint"	n03631177
n04015204	protective garment	n03051540
n04053677	range hood	n03531546
n04059157	ready-to-wear	n03051540
n04075715	rendering	n03058107
n04078150	reseau	n03819595
n04105068	roof	n04014297
n04105438	roof	n04014297
n04118021	"rug, carpet, carpeting"	n03366823
n04121342	russet	n03529444
n04127117	safety net	n03819595
n04135933	"sarcenet, sarsenet"	n04219424
n04139534	save-all	n03819595
n04151581	screen	n04014297
n04155068	screwtop	n04453910
n04159545	seal	n03058107
n04162433	seat	n03050026
n04181718	shade	n04014297
n04187061	sheath	n04014297
n04187233	"sheathing, overlay, overlayer"	n04014297
n04191943	shelter	n04014297
n04192858	shield	n04014297
n04199027	shoe	n03380867
n04201297	shoji	n04151940
n04207151	shoulder	n03050026
n04231272	skirt	n03050026
n04236377	"sleeve, arm"	n03050026
n04240752	slipcover	n03050026
n04241249	slip-on	n03051540
n04241394	"slipper, carpet slipper"	n03380867
n04243142	slops	n03051540
n04250692	snood	n03819595
n04268142	"spark arrester, sparker"	n03819595
n04281375	"splashboard, splasher, dashboard"	n04014297
n04281571	splasher	n04014297
n04299066	stalking-horse	n04151940
n04323519	"stockinet, stockinette"	n03625355
n04335693	street clothes	n03051540
n04385079	tailor-made	n03051540
n04395024	"tarpaulin, tarp"	n02953673
n04412097	"tent-fly, rainfly, fly sheet, fly, tent flap"	n03357376
n04416005	testudo	n04014297
n04431648	thumbstall	n04014297
n04444749	toecap	n04014297
n04446162	"togs, threads, duds"	n03051540
n04450994	tongue	n03357376
n04482297	tricot	n03625355
n04495183	tucker	n04613015
n04496614	tulle	n03819595
n04506895	Ultrasuede	n04350458
n04509592	uniform	n03051540
n04521987	varnish	n03058107
n04525417	"veneer, veneering"	n03058107
n04532022	vestiture	n03051540
n04538403	"viscose rayon, viscose"	n04056932
n04554211	"washboard, splashboard"	n04014297
n04561857	waterproofing	n03058107
n04583888	wide wale	n03106722
n04585626	winceyette	n03357267
n04595762	"wirework, grillwork"	n03819595
n04596852	woman's clothing	n03051540
n04600912	"work-clothing, work-clothes"	n03051540
n02665985	aba	n03309808
n02677028	acrylic	n03309808
n02683183	Aertex	n03309808
n02698473	alpaca	n03309808
n02746225	artificial skin	n03122748
n02776505	baize	n03309808
n02802990	basket weave	n03309808
n02809105	batik	n03309808
n02809241	batiste	n03309808
n02828427	belting	n03309808
n02867401	bombazine	n03309808
n02874642	bootleg	n03122748
n02878425	boucle	n03309808
n02903727	broadcloth	n03309808
n02903852	broadcloth	n03309808
n02904803	brocade	n03309808
n02909053	bubble	n03122748
n02910542	buckram	n03309808
n02921195	bunting	n03309808
n02939763	calico	n03309808
n02942147	cambric	n03309808
n02942460	"camel's hair, camelhair"	n03309808
n02944256	camlet	n03309808
n02944579	"camouflage, camo"	n03309808
n02952109	canopy	n03309808
n02952237	canopy	n03122748
n02953673	"canvas, canvass"	n03309808
n02977330	cashmere	n03309808
n02977822	casing	n03122748
n02998107	cerecloth	n03309808
n02999272	chafing gear	n03122748
n03003633	challis	n03309808
n03004409	chambray	n03309808
n03013850	chenille	n03309808
n03016868	chiffon	n03309808
n03019304	chino	n03309808
n03019938	chintz	n03309808
n03045698	cloak	n03122748
n03050026	cloth covering	n03122748
n03051540	"clothing, article of clothing, vesture, wear, wearable, habiliment"	n03122748
n03058107	"coating, coat"	n03122748
n03058603	coating	n03309808
n03059934	cobweb	n03309808
n03106722	"cord, corduroy"	n03309808
n03115180	cotton	n03309808
n03115400	"cotton flannel, Canton flannel"	n03309808
n03123666	cover plate	n03122748
n03130563	"crepe, crape"	n03309808
n03131193	cretonne	n03309808
n03132666	crinoline	n03309808
n03160740	damask	n03309808
n03175189	"denim, dungaree, jean"	n03309808
n03188290	diamante	n03309808
n03188725	diaper	n03309808
n03199358	dimity	n03309808
n03217653	doeskin	n03309808
n03232923	drape	n03122748
n03233123	drapery	n03309808
n03253071	duck	n03309808
n03253796	"duffel, duffle"	n03309808
n03261603	earmuff	n03122748
n03267696	elastic	n03309808
n03298858	"etamine, etamin"	n03309808
n03317889	faille	n03309808
n03326795	felt	n03309808
n03331244	"fiber, fibre, vulcanized fiber"	n03309808
n03335461	fig leaf	n03122748
n03341153	finger	n03122748
n03356982	flannel	n03309808
n03357267	flannelette	n03309808
n03357376	flap	n03122748
n03362639	fleece	n03309808
n03366823	"floor cover, floor covering"	n03122748
n03376279	folder	n03122748
n03380867	"footwear, footgear"	n03122748
n03386726	foulard	n03309808
n03396997	frieze	n03309808
n03408340	fustian	n03309808
n03409297	gabardine	n03309808
n03435743	georgette	n03309808
n03437741	gingham	n03309808
n03461651	grogram	n03309808
n03462110	grosgrain	n03309808
n03475674	"haircloth, hair"	n03309808
n03516266	herringbone	n03309808
n03529444	homespun	n03309808
n03531546	"hood, exhaust hood"	n03122748
n03531691	hood	n03122748
n03535647	"hopsacking, hopsack"	n03309808
n03538817	horsehair	n03309808
n03561657	"imbrication, overlapping, lapping"	n03122748
n03574243	instep	n03122748
n03591313	jaconet	n03309808
n03591798	jacquard	n03309808
n03615300	"khadi, khaddar"	n03309808
n03615406	khaki	n03309808
n03625355	knit	n03309808
n03631177	lace	n03309808
n03635330	lame	n03309808
n03653110	"leatherette, imitation leather"	n03309808
n03672521	linen	n03309808
n03675445	linsey-woolsey	n03309808
n03675780	lint	n03309808
n03677682	lisle	n03309808
n03703075	mackinaw	n03309808
n03703590	"mackintosh, macintosh"	n03309808
n03703862	madras	n03309808
n03723534	marseille	n03309808
n03724870	mask	n03122748
n03730893	matting	n03122748
n03750437	mercy seat	n03122748
n03752071	metallic	n03309808
n03779128	mohair	n03309808
n03779246	"moire, watered-silk"	n03309808
n03780799	moleskin	n03309808
n03782929	monk's cloth	n03309808
n03785237	moquette	n03309808
n03785361	moreen	n03309808
n03789603	motley	n03309808
n03794291	mousseline de sole	n03309808
n03802393	muslin	n03309808
n03806904	nankeen	n03309808
n03819595	"net, network, mesh, meshing, meshwork"	n03309808
n03825673	ninon	n03309808
n03836906	nylon	n03309808
n03843438	oilcloth	n03309808
n03846100	olive drab	n03309808
n03855214	organza	n03309808
n03873996	"paddle box, paddle-box"	n03122748
n03877351	paisley	n03309808
n03885194	"panting, trousering"	n03309808
n03914231	pepper-and-salt	n03309808
n03914831	percale	n03309808
n03917814	"permanent press, durable press"	n03309808
n03939440	pilot cloth	n03309808
n03943833	pinstripe	n03309808
n03947798	pique	n03309808
n03956623	planking	n03122748
n03970546	plush	n03309808
n03979377	polyester	n03309808
n03980986	pongee	n03309808
n03983612	poplin	n03309808
n04003856	print	n03309808
n04014297	"protective covering, protective cover, protection"	n03122748
n04034367	quilting	n03309808
n04056932	rayon	n03309808
n04075813	"rep, repp"	n03309808
n04123228	sackcloth	n03309808
n04123567	"sacking, bagging"	n03309808
n04128710	sailcloth	n03309808
n04132829	samite	n03309808
n04137355	sateen	n03309808
n04138261	satin	n03309808
n04138398	"satinet, satinette"	n03309808
n04151940	"screen, cover, covert, concealment"	n03122748
n04153330	screening	n03309808
n04155625	scrim	n03309808
n04167661	seersucker	n03309808
n04174026	serge	n03309808
n04183076	shag	n03309808
n04184316	shantung	n03309808
n04184880	sharkskin	n03309808
n04189282	sheeting	n03309808
n04198233	shirting	n03309808
n04198453	shirttail	n03309808
n04219067	silesia	n03309808
n04219424	silk	n03309808
n04267165	spandex	n03309808
n04283784	sponge cloth	n03309808
n04299828	stammel	n03309808
n04350458	"suede cloth, suede"	n03309808
n04351699	suiting	n03309808
n04368840	swan's down	n03309808
n04369146	swathing	n03122748
n04383839	taffeta	n03309808
n04387531	tammy	n03309808
n04391445	"tapa, tappa"	n03309808
n04393549	"tapestry, tapis"	n03309808
n04395106	"tartan, plaid"	n03309808
n04414476	"terry, terry cloth, terrycloth"	n03309808
n04430896	thumb	n03122748
n04432662	ticking	n03309808
n04444218	toe	n03122748
n04453910	"top, cover"	n03122748
n04459610	"toweling, towelling"	n03309808
n04502502	tweed	n03309808
n04503155	twill	n03309808
n04513827	upholstery	n03122748
n04513998	upholstery material	n03309808
n04524594	Velcro	n03309808
n04524941	"velour, velours"	n03309808
n04525038	velvet	n03309808
n04525191	velveteen	n03309808
n04533594	vicuna	n03309808
n04539407	Viyella	n03309808
n04539794	voile	n03309808
n04553561	wash-and-wear	n03309808
n04561734	waterproof	n03309808
n04568713	web	n03309808
n04568841	webbing	n03309808
n04578112	whipcord	n03309808
n04585456	wincey	n03309808
n04594742	wire cloth	n03309808
n04599235	"wool, woolen, woollen"	n03309808
n04605163	worsted	n03309808
n04605726	"wrapping, wrap, wrapper"	n03122748
n04613015	yoke	n03309808
n14592309	pina cloth	n03309808
n10853932	"Blucher, von Blucher, G. L. von Blucher, Gebhard Leberecht von Blucher"	n10123844
n09771204	"admiral, full admiral"	n10094584
n09783653	alienist	n10488016
n09790278	"analyst, psychoanalyst"	n10488016
n09875540	"brigadier, brigadier general"	n10125786
n09966941	"corsair, Barbary pirate"	n10435367
n09973209	"vaquero, buckaroo, buckeroo"	n09972661
n09973422	cowgirl	n09972661
n10066059	"etiologist, aetiologist"	n10011074
n10086821	field marshal	n10296176
n10092978	"first lieutenant, 1st lieutenant"	n10259348
n10094236	flag captain	n09892831
n10096016	"fleet admiral, five-star admiral"	n10094584
n10102130	"footpad, padder"	n10175507
n10104487	foreman	n10104592
n10104983	"forewoman, forelady"	n10104592
n10122441	gaucho	n09972661
n10123844	"general, full general"	n10125786
n10186216	"horse wrangler, wrangler"	n09972661
n10259780	"lieutenant colonel, light colonel"	n09937250
n10260166	lieutenant general	n10125786
n10283663	major-general	n10125786
n10382157	orderly sergeant	n10093475
